Chapter,Section,Name,Text,IsRepealed,Details,Part
266,1,Dwelling houses; burning or aiding in burning,"Section 1. Whoever wilfully and maliciously sets fire to, burns, or causes to be burned, or whoever aids, counsels or procures the burning of, a dwelling house, or a building adjoining or adjacent to a dwelling house, or a building by the burning whereof a dwelling house is burned, whether such dwelling house or other building is the property of himself or another and whether the same is occupied or unoccupied, shall be punished by imprisonment in the state prison for not more than twenty years, or by imprisonment in a jail or house of correction for not more than two and one half years, or by a fine of not more than ten thousand dollars, or by both such fine and imprisonment. The words ''dwelling house'', as used in this section, shall mean and include all buildings used as dwellings such as apartment houses, tenement houses, hotels, boarding houses, dormitories, hospitals, institutions, sanatoria, or other buildings where persons are domiciled.   

",False,http://malegislature.gov/api/Chapters/266/Sections/1/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,2,Meeting house; burning or aiding in burning,"Section 2. Whoever wilfully and maliciously sets fire to, burns, or causes to be burned, or whoever aids, counsels or procures the burning of, a meeting house, church, court house, town house, college, academy, jail or other building which has been erected for public use, or a banking house, warehouse, store, manufactory, mill, barn, stable, shop, outhouse or other building, or an office building, lumber yard, ship, vessel, street car or railway car, or a bridge, lock, dam, flume, tank, or any building or structure or contents thereof, not included or described in the preceding section, whether the same is the property of himself or of another and whether occupied, unoccupied or vacant, shall be punished by imprisonment in the state prison for not more than ten years, or by imprisonment in a jail or house of correction for not more than two and one half years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/2/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,"3, 4",nan,nan,False,"http://malegislature.gov/api/Chapters/266/Sections/3,%204/",nan
266,5,Wood and other property; burning or aiding in burning,"Section 5. Whoever wilfully and maliciously sets fire to, or burns or otherwise destroys or injures by burning, or causes to be burned or otherwise so destroyed or injured, or whoever aids, counsels or procures the burning of, a pile or parcel of wood, boards, timber or other lumber, or any fence, bars or gate, or a stack of grain, hay or other vegetable product, or any vegetable product severed from the soil and not stacked, or any standing tree, grain, grass or other standing product of the soil, or the soil itself, or any personal property of whatsoever class or character exceeding a value of twenty-five dollars, of another, or any boat, motor vehicle as defined in section one of chapter ninety, or other conveyance, whether of himself or another, shall be punished by imprisonment in the state prison for not more than three years, or by a fine of not more than five hundred dollars and imprisonment in a jail or house of correction for not more than one year.   

",False,http://malegislature.gov/api/Chapters/266/Sections/5/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,5A,Attempts,"Section 5A. Whoever wilfully and maliciously attempts to set fire to, or attempts to burn, or aids, counsels or assists in such an attempt to set fire to or burn, any of the buildings, structures or property mentioned in the foregoing sections, or whoever commits any act preliminary thereto or in furtherance thereof, shall be punished by imprisonment in the state prison for not more than ten years, or by imprisonment in a jail or house of correction for not more than two and one half years or by a fine of not more than one thousand dollars.  

The placing or distributing of any flammable, explosive or combustible material or substance or any device in or against any building, structure or property mentioned in the foregoing sections in an arrangement or preparation with intent eventually to wilfully and maliciously set fire to or burn such building, structure or property, or to procure the setting fire to or burning of the same shall, for the purposes of this section, constitute an attempt to burn such building, structure or property.   

",False,http://malegislature.gov/api/Chapters/266/Sections/5A/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,6,nan,nan,False,http://malegislature.gov/api/Chapters/266/Sections/6/,nan
266,7,Woods; wanton or reckless injury or destruction by fire,"Section 7. Whoever by wantonly or recklessly setting fire to any material, or by increasing a fire already set, causes injury to, or the destruction of, any growing or standing wood of another shall be punished by a fine of not more than one thousand dollars or by imprisonment for not more than two years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/7/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,8,Injury by fire; negligent use,"Section 8. Whoever, not being a tenant thereof, sets or increases a fire upon land of another whereby the property of another is injured, or whoever negligently or wilfully suffers any fire upon his own land to extend beyond the limits thereof whereby the woods or property of another are injured, shall be punished by a fine of not more than one thousand dollars or by imprisonment for not more than two years, and the town where such fire occurred may recover in an action of tort, brought within two years after the cause of action accrues, against any such person the expense of extinguishing such fire.   

",False,http://malegislature.gov/api/Chapters/266/Sections/8/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,9,Injury by fire; negligent use in town; damages,"Section 9. Whoever, in a town which accepts this section or has accepted corresponding provisions of earlier laws, sets a fire on land which is not owned or controlled by him and before leaving the same neglects to entirely extinguish such fire, or whoever wilfully or negligently sets a fire on land which is not owned or controlled by him whereby property is endangered or injured, or whoever wilfully or negligently suffers a fire upon his own land to escape beyond the limits thereof to the injury of another, shall be punished by a fine of not more than one hundred dollars or by imprisonment in jail for not more than one month, or both, and shall also be liable for all damages caused thereby. Such fine shall be equally divided between the complainant and the town. This section shall not apply to cities.   

",False,http://malegislature.gov/api/Chapters/266/Sections/9/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,10,Insured property; burning with intent to defraud,"Section 10. Whoever, wilfully and with intent to defraud or injure the insurer, sets fire to, or attempts to set fire to, or whoever causes to be burned, or whoever aids, counsels or procures the burning of, a building, or any goods, wares, merchandise or other chattels, belonging to himself or another, and which are at the time insured against loss or damage by fire, shall be punished by imprisonment in the state prison for not more than five years or in a jail or house of correction for not more than two and one half years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/10/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,11,"Fire alarm, engine or apparatus; injury before fire","Section 11. Whoever, within twenty-four hours prior to the burning of a building or other property, wilfully, intentionally and without right cuts or removes a bell rope or a wire or conduit connected with a fire alarm signal system or injures or disables any fire alarm signal box or any part of such system in the vicinity of such building or property, or cuts, injures or destroys an engine, hose or other fire apparatus in said vicinity shall be punished by a fine of not more than five hundred dollars or by imprisonment for not more than two years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/11/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,12,"Fire alarm, engine or apparatus; injury during fire to prevent alarm or extinction of fire","Section 12. Whoever, during the burning of a building or other property, wilfully and maliciously cuts or removes a bell rope or a wire or conduit connected with a fire alarm signal system or injures or disables any fire alarm signal box or any part of such system in the vicinity of such building or property, or otherwise prevents an alarm being given, or whoever cuts, injures or destroys an engine, hose or other fire apparatus, in said vicinity, or otherwise wilfully and maliciously prevents or obstructs the extinction of a fire shall be punished by imprisonment in the state prison for not more than seven years or in jail for not more than two and one half years or by a fine of not more than one thousand dollars.   

",False,http://malegislature.gov/api/Chapters/266/Sections/12/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,13,Fire engines; wanton or malicious injury,"Section 13. Whoever wantonly or maliciously injures a fire engine or other fire apparatus shall be punished by a fine of not more than five hundred dollars or by imprisonment for not more than two years, and shall be further ordered to recognize with sufficient surety or sureties for his good behavior during such term as the court shall order.   

",False,http://malegislature.gov/api/Chapters/266/Sections/13/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,13A,Duty of hotel manager to notify fire department and sound alarm; penalty,"Section 13A. The manager of a hotel or family hotel or such other person as may be in charge of the premises in the absence of the manager, shall, as soon as he becomes aware that there is a fire therein, notify the fire department and, if such fire, or heat, smoke or gas therefrom, threatens to spread to rooms occupied by guests, sound the alarm system required by the state building code.  

Whoever violates any provision of this section shall be punished by imprisonment in a jail or house of correction for not more than two and a half years or by a fine of not more than one thousand dollars.   

",False,http://malegislature.gov/api/Chapters/266/Sections/13A/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,14,Burglary; armed; assault on occupants; weapons; punishment,"Section 14. Whoever breaks and enters a dwelling house in the night time, with intent to commit a felony, or whoever, after having entered with such intent, breaks such dwelling house in the night time, any person being then lawfully therein, and the offender being armed with a dangerous weapon at the time of such breaking or entry, or so arming himself in such house, or making an actual assault on a person lawfully therein, shall be punished by imprisonment in the state prison for life or for any term of not less than ten years.  

Whoever commits any offense described in this section while armed with a firearm, rifle, shotgun, machine gun or assault weapon shall be punished by imprisonment in the state prison for life or for any term of years, but not less than 15 years. Whoever commits a subsequent such offense shall be punished by imprisonment in the state prison for life or for any term of years, but not less than 20 years. The sentence imposed upon a person who, after being convicted of any offence mentioned in this section, commits the like offence, or any other of the offences therein mentioned, shall not be suspended, nor shall he be placed on probation.   

",False,http://malegislature.gov/api/Chapters/266/Sections/14/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,15,Burglary; unarmed,"Section 15. Whoever breaks and enters a dwelling house in the night time, with the intent mentioned in the preceding section, or, having entered with such intent, breaks such dwelling house in the night time, the offender not being armed, nor arming himself in such house, with a dangerous weapon, nor making an assault upon a person lawfully therein, shall be punished by imprisonment in the state prison for not more than twenty years and, if he shall have been previously convicted of any crime named in this or the preceding section, for not less than five years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/15/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
266,16,Breaking and entering at night,"Section 16. Whoever, in the night time, breaks and enters a building, ship, vessel or vehicle, with intent to commit a felony, or who attempts to or does break, burn, blow up or otherwise injures or destroys a safe, vault or other depository of money, bonds or other valuables in any building, vehicle or place, with intent to commit a larceny or felony, whether he succeeds or fails in the perpetration of such larceny or felony, shall be punished by imprisonment in the state prison for not more than twenty years or in a jail or house of correction for not more than two and one-half years.   

",False,http://malegislature.gov/api/Chapters/266/Sections/16/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
