Chapter,Section,Name,Text,IsRepealed,Details,Part
263A,1,Definitions,"Section 1. For the purposes of this chapter, the following words shall have the following meanings:&mdash;  

''Board'', the witness protection board established in section 2.  

''Prosecuting officer'', the attorney general or a district attorney from each county.  

''Critical witness'', any person who is participating, has participated, or is reasonably expected to participate in a criminal investigation, motion hearing, trial, show cause hearing, or other criminal proceeding, or a proceeding involving an alleged violation of conditions of probation or parole, or the commitment of a sexually dangerous person pursuant to chapter 123A; or who has received a subpoena requiring such participation; who is, or was, in the judgment of the prosecuting officer, a necessary witness at one or more of the aforementioned types of proceedings, and who is or may be endangered by such person's participation in the aforementioned proceeding; or such person's relatives, guardians, friends or associates, who are or may be endangered by such person's participation in the aforementioned proceeding.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/1/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,2,Witness protection board; composition; powers and duties,"Section 2. There is hereby established a witness protection board within the executive office of public safety consisting of the secretary of public safety, the attorney general, the auditor, a chief of police appointed by the Massachusetts Chiefs of Police Association, and a district attorney appointed by the Massachusetts District Attorney's Association, or any member's respective designees. The board shall oversee the commonwealth's witness protection program and coordinate the efforts of state, county and law enforcement agencies to protect the health, safety and welfare of witnesses including, but not limited to, the administration and approval of funding for witness protection services. The board shall promulgate rules and regulations for the administration of the commonwealth's witness protection program and establish procedures to maximize federal funds for witness protection services.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/2/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,3,Petition requesting witness protection services,"Section 3. In any criminal investigation or proceeding, the prosecuting officer with jurisdiction over the investigation or proceeding may file a petition with the board requesting witness protection services for a critical witness if the prosecuting officer certifies that such witness's participation in the investigation or proceeding places the witness at risk of harm including, but not limited to, intimidation or retaliatory violence. The petition shall include a proposed plan for protective services which shall include, but not be limited to, projected costs, method of protection and likely duration of services. The board shall review the petition as soon as possible and if, by a vote of 3 or more board members, finds that the petition and plan comply with the rules and regulations established by the board, the board shall assist the prosecuting officer to coordinate the efforts of state, county and local agencies to secure witness protection services. The board shall, subject to appropriation, reimburse the prosecuting officer for any witness protection related costs that comply with the regulations and guidelines established by the board.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/3/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,4,Temporary action based on exigent circumstances without prior approval by board,"Section 4. If a prosecuting officer determines that exigent circumstances exist regarding an imminent threat to the safety of a critical witness, he may take any appropriate temporary action he determines is necessary to protect the safety of the witness without prior approval of the board. The prosecuting officer shall inform the board of the action taken and the related costs within 48 hours. Any such costs, which would otherwise be in compliance with the rules and regulations established by the board pursuant to section 2, may be reimbursed to the prosecuting officer.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/4/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,5,Protective services provided to critical witnesses; notice to defense counsel,"Section 5. Protective services provided to a critical witness may include, but not be limited to:&mdash;  

(a) any necessary armed protection or escort, marked or unmarked surveillance or periodic visits or contact by law enforcement officials prior, during or subsequent to a criminal proceeding;  

(b) physical relocation to an alternate shelter, housing or residence;  

(c) reasonable housing expenses;  

(d) transportation or storage of personal possessions;  

(e) basic living expenses; and  

(f) petition for a protective order on any individual identified as a threat to a critical witness.  

Any protective services provided to a critical witness shall be made known to defense counsel pursuant to Rule 14 of the Massachusetts Rules of Criminal Procedure.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/5/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,6,Written memorandum of understanding; persons required to sign; contents,"Section 6. Before providing witness protection services to any critical witness under this chapter, except where it is determined that temporary protective services are necessary pursuant to section 4, the prosecuting officer shall enter into a written memorandum of understanding with such witness. If temporary protective services have been provided pursuant to section 4, a written memorandum of understanding shall be entered into as soon as practicable. The written memorandum of understanding shall be signed by: the prosecuting officer or his designee; the witness to be afforded protective services; the witness' guardian if the witness is a minor; and the witness'; attorney if the witness is represented by counsel. Such written memorandum of understanding shall not be considered a grant of immunity. The written memorandum of understanding shall include:&mdash;  

(a) The responsibilities agreed to by the witness while receiving protective services, shall include, but not limited to, an agreement to:&mdash;  

(i) provide complete and truthful information to all relevant law enforcement officials related to all relevant investigations, and to testify completely and truthfully in all appropriate proceedings;  

(ii) not commit any crime;  

(iii) take all necessary precautions to avoid making known to others his participation in the witness protection program or the provision of protective services under such program;  

(iv) comply with any legal obligations or civil judgments against the witness;  

(v) cooperate with all reasonable requests of officers and employees of the commonwealth who are providing protective services under this chapter;  

(vi) designate another person to act as an agent for the service of process.  Under no circumstances shall the person so designated be an employee of the prosecuting officer or other law enforcement agency, or be a member of or perform duties on behalf of the witness protection board;  

(vii) make a sworn statement of all outstanding legal obligations, including obligations concerning child custody and visitation, and child support;  

(viii) disclose any probation or parole conditions, obligations, or responsibilities; and  

(ix) regularly inform the prosecuting officer of the activities and current address of the witness.  

(b) The responsibilities agreed to by the commonwealth while providing protective services shall include, but not be limited to:  

(i) The names and telephone numbers of representatives of the prosecuting officer or law enforcement personnel to contact if the witness has questions or concerns related to the protective services or the witness' safety;  

(ii) The protective services that the prosecuting officer has determined will be requested, and, if authorized, to be provided to the witness under this chapter; and  

(iii) The procedures to be followed, if there is a determination by the prosecuting officer that there has occurred a material breach of the memorandum of understanding, as established by the prosecuting officer.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/6/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,7,Refusal of protective services; revocation of services upon violation of memorandum of understanding,"Section 7. If a witness, after being offered protective services under this chapter, at any time declines to receive such services, the prosecuting officer shall request that the witness make such refusal in writing, or, if the witness refuses to document such refusal of services in writing, the prosecuting officer shall document the refusal and inform the witness protection board forthwith that the witness has declined protective services.  If a witness violates the terms of the memorandum of understanding set forth in section 6 or any other condition of receiving witness protection services under this chapter, the prosecuting officer may revoke and terminate all protective services, and shall so advise the witness in writing. The prosecuting officer shall notify the board forthwith of such revocation and grounds therefore.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/7/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,8,Relocation of critical witness within public housing system,"Section 8. Notwithstanding any general or special law to the contrary, or any regulation, rule or ordinance, if a petition and plan for witness protection, approved by the board, requires relocation of a critical witness within the public housing system, such relocation shall be effectuated without regard to any impediment including, but not limited to, any existing waiting list.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/8/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,9,Relocation of critical witness to another public school,"Section 9. Notwithstanding any general or special law to the contrary, or any regulation, rule or ordinance, if a petition and plan for witness protection, approved by the witness protection board, requires relocation of a critical witness to another public school within or without of the witness's current school system, such relocation shall be effectuated without regard to any impediment including, but not limited to, class capacity limits and jurisdictional boundaries of any given school district.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/9/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,10,Entitlement or private right of action not available; governmental immunity,"Section 10. Nothing in this section shall be construed as creating a right, entitlement or cause of action on behalf of any person against any public employee, public agency, the commonwealth, or any agency responsible for the provision of services set forth in this chapter. The commonwealth, its officers and employees, and law enforcement personnel shall have immunity from suit based on any decision, act or omission related to this chapter.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/10/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,11,Liaison with United States Marshal's office; pursuit of federal resources and funding,"Section 11. The board shall establish a liaison with the United States Marshal's office in order to facilitate the legal processes over which the federal government has sole authority. The liaison shall coordinate all requests for federal assistance relating to witness protection.  

The board shall pursue all federal sources that may be available for implementing this chapter. For that purpose, the board shall establish a liaison with the United States Department of Justice.  

The board shall, in conjunction with the executive office of administration and finance and the senate and house ways and means committees, establish procedures to maximize federal funding for witness protection services.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/11/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,12,Confidentiality of records,"Section 12. Records of the board and all records relating to petitions and filed with the board shall be confidential and shall not be public records.  Section 11A and section 11A1/2 of chapter 30A shall not apply to meetings, discussions or deliberations of the board.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/12/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
263A,13,Disclosure of identity or location of witness or other sensitive information; penalties,"Section 13. (a) A prosecuting officer may disclose or refuse to disclose the identity or location of a protected witness, or any other matter concerning a protected witness or the program, after balancing the danger such disclosure may pose to the protected witness, the detriment it may cause to the general effectiveness of the program, and the benefit it may afford to the public or the person seeking discovery, except that a prosecuting officer shall, upon the request of a federal, state or local law enforcement official, or pursuant to a court order, disclose to such official the identity, location and criminal records relating to the protected witness when the prosecuting officer knows, or the request from such official indicates, that the protected witness is under criminal investigation for, or has been arrested for, or charged with, a felony.  

(b) Whoever, without the express written authorization of the prosecuting officer, knowingly discloses any information received from the prosecuting officer or generated in connection with witness protection services and which poses a risk of harm: to a program participant; of disclosure of any person's participation in such program; or of jeopardizing the objectives of the program shall be punished by imprisonment in the house of correction for not more than 21/2 years or by a fine of not more than $5,000, or by both such fine and imprisonment. This section shall not apply to: any members of the board; members of the attorney general's office; members of the district attorneys' offices; law enforcement; or agents thereof, acting in the lawful discharge of their duties.   

",False,http://malegislature.gov/api/Chapters/263A/Sections/13/,"{'Code': 'IV', 'Details': 'http://malegislature.gov/api/Parts/IV'}"
